ophys_session_id,ophys_experiment_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
766053999,766224731,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
766320553,766815633,2018-10-22 08:29:45.133000,523490076,CAM2P.4,118.6,86.2,31.6
766321179,766805249,2018-10-22 08:25:29.575000,480119307,CAM2P.2,118.6,86.2,31.6
766321238,766805098,2018-10-22 08:40:47.108000,480119305,CAM2P.1,118.6,86.2,31.6
766394154,767312095,2018-10-22 09:32:34.121000,506540632,CAM2P.3,118.6,86.2,31.6
766502238,766806480,2018-10-22 10:28:24.170000,480119307,CAM2P.2,118.6,86.2,31.6
766591030,766750324,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766591030,766750341,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766591030,766750353,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766591030,766750365,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766591030,766750377,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766591030,766750389,2018-10-22 12:02:23.206000,722885523,DS.1,118.6,86.2,31.6
766633259,766805705,2018-10-22 12:14:18.918000,480119305,CAM2P.1,118.6,86.2,31.6
766651427,766806929,2018-10-22 12:32:25.659000,480119307,CAM2P.2,118.6,86.2,31.6
766725279,766779984,2018-10-22 20:45:03,604519819,CAM2P.6,118.6,86.2,31.6
766747739,767312109,2018-10-22 15:13:01.612000,506540632,CAM2P.3,118.6,86.2,31.6
766755565,767435538,2018-10-22 16:05:54.671000,523490080,CAM2P.5,118.6,86.2,31.6
766755592,766786322,2018-10-22 22:40:17,604519819,CAM2P.6,118.6,86.2,31.6
766755831,766815288,2018-10-22 15:51:31.646000,480119307,CAM2P.2,118.6,86.2,31.6
766775808,767435176,2018-10-22 18:16:09.866000,523490080,CAM2P.5,118.6,86.2,31.6
766830331,767421699,2018-10-23 08:37:37.179000,480119307,CAM2P.2,118.6,86.2,31.6
